litv,#genre#
parse=1

民視台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv001
民視第一台,https://www.litv.tv/channel/watch/4gtv-4gtv003
民視綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv004
豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
中天新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv009
非凡新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv010
影迷數位電影台,https://www.litv.tv/channel/watch/4gtv-4gtv011
視納華仁紀實頻道,https://www.litv.tv/channel/watch/4gtv-4gtv013
時尚運動X,https://www.litv.tv/channel/watch/4gtv-4gtv014
達文西頻道,https://www.litv.tv/channel/watch/4gtv-4gtv018
八大精彩台,https://www.litv.tv/channel/watch/4gtv-4gtv034
八大綜藝台,https://www.litv.tv/channel/watch/4gtv-4gtv039
中視,https://www.litv.tv/channel/watch/4gtv-4gtv040
華視,https://www.litv.tv/channel/watch/4gtv-4gtv041
公視戲劇,https://www.litv.tv/channel/watch/4gtv-4gtv042
客家電視台,https://www.litv.tv/channel/watch/4gtv-4gtv043
靖天卡通台,https://www.litv.tv/channel/watch/4gtv-4gtv044
靖洋戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv045
靖天綜合台,https://www.litv.tv/channel/watch/4gtv-4gtv046
靖天日本台,https://www.litv.tv/channel/watch/4gtv-4gtv047
非凡商業台,https://www.litv.tv/channel/watch/4gtv-4gtv048
采昌影劇台,https://www.litv.tv/channel/watch/4gtv-4gtv049
台視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv051
華視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv052
GINX Esports TV,https://www.litv.tv/channel/watch/4gtv-4gtv053
靖天歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv054
靖天映畫台,https://www.litv.tv/channel/watch/4gtv-4gtv055
台視財經,https://www.litv.tv/channel/watch/4gtv-4gtv056
靖洋卡通台,https://www.litv.tv/channel/watch/4gtv-4gtv057
靖天戲劇台,https://www.litv.tv/channel/watch/4gtv-4gtv058
CLASSICA 古典樂,https://www.litv.tv/channel/watch/4gtv-4gtv059
靖天電影台,https://www.litv.tv/channel/watch/4gtv-4gtv061
靖天育樂台,https://www.litv.tv/channel/watch/4gtv-4gtv062
靖天國際台,https://www.litv.tv/channel/watch/4gtv-4gtv063
中視菁采台,https://www.litv.tv/channel/watch/4gtv-4gtv064
靖天資訊台,https://www.litv.tv/channel/watch/4gtv-4gtv065
台視,https://www.litv.tv/channel/watch/4gtv-4gtv066
TVBS精采台,https://www.litv.tv/channel/watch/4gtv-4gtv067
TVBS歡樂台,https://www.litv.tv/channel/watch/4gtv-4gtv068
愛爾達娛樂台,https://www.litv.tv/channel/watch/4gtv-4gtv070
TVBS新聞,https://www.litv.tv/channel/watch/4gtv-4gtv072
TVBS,https://www.litv.tv/channel/watch/4gtv-4gtv073
中視新聞,https://www.litv.tv/channel/watch/4gtv-4gtv074
亞洲旅遊台,https://www.litv.tv/channel/watch/4gtv-4gtv076
TRACE Sport Stars,https://www.litv.tv/channel/watch/4gtv-4gtv077
ARIRANG阿里郎頻道,https://www.litv.tv/channel/watch/4gtv-4gtv079
中視經典台,https://www.litv.tv/channel/watch/4gtv-4gtv080
TRACE Urban,https://www.litv.tv/channel/watch/4gtv-4gtv082
Mezzo Live HD,https://www.litv.tv/channel/watch/4gtv-4gtv083
國會頻道1台,https://www.litv.tv/channel/watch/4gtv-4gtv084
國會頻道2台,https://www.litv.tv/channel/watch/4gtv-4gtv085
智林體育台,https://www.litv.tv/channel/watch/4gtv-4gtv101
東森購物1台,https://www.litv.tv/channel/watch/4gtv-4gtv102
東森購物2台,https://www.litv.tv/channel/watch/4gtv-4gtv103
第1商業台,https://www.litv.tv/channel/watch/4gtv-4gtv104
中天亞洲台,https://www.litv.tv/channel/watch/4gtv-4gtv109
東森新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv152
東森財經新聞台,https://www.litv.tv/channel/watch/4gtv-4gtv153
民視,https://www.litv.tv/channel/watch/4gtv-4gtv155
寰宇新聞台灣台,https://www.litv.tv/channel/watch/4gtv-4gtv156
寰宇財經台,https://www.litv.tv/channel/watch/4gtv-4gtv158
VOA美國之音,https://www.litv.tv/channel/watch/litv-ftv03
民視旅遊台,https://www.litv.tv/channel/watch/litv-ftv07
民視影劇台,https://www.litv.tv/channel/watch/litv-ftv09
民視新聞台,https://www.litv.tv/channel/watch/litv-ftv13
影迷數位紀實台,https://www.litv.tv/channel/watch/litv-ftv15
好消息,https://www.litv.tv/channel/watch/litv-ftv16
好消息2台,https://www.litv.tv/channel/watch/litv-ftv17
龍華卡通台,https://www.litv.tv/channel/watch/litv-longturn01
龍華洋片台,https://www.litv.tv/channel/watch/litv-longturn02
龍華電影台,https://www.litv.tv/channel/watch/litv-longturn03
博斯魅力台,https://www.litv.tv/channel/watch/litv-longturn04
博斯高球台,https://www.litv.tv/channel/watch/litv-longturn05
博斯高球二台,https://www.litv.tv/channel/watch/litv-longturn06
博斯運動一台,https://www.litv.tv/channel/watch/litv-longturn07
博斯運動二台,https://www.litv.tv/channel/watch/litv-longturn08
博斯網球台,https://www.litv.tv/channel/watch/litv-longturn09
博斯無限台,https://www.litv.tv/channel/watch/litv-longturn10
龍華日韓台,https://www.litv.tv/channel/watch/litv-longturn11
龍華偶像台,https://www.litv.tv/channel/watch/litv-longturn12
博斯無限二台,https://www.litv.tv/channel/watch/litv-longturn13
寰宇新聞台,https://www.litv.tv/channel/watch/litv-longturn14
龍華戲劇台,https://www.litv.tv/channel/watch/litv-longturn18
Smart知識台,https://www.litv.tv/channel/watch/litv-longturn19
ELTV生活英語台,https://www.litv.tv/channel/watch/litv-longturn20
龍華經典台,https://www.litv.tv/channel/watch/litv-longturn21
台灣戲劇台,https://www.litv.tv/channel/watch/litv-longturn22
三立新聞iNEWS,https://www.litv.tv/channel/watch/iNEWS
