2025台灣,#genre#

TVBS新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv072
東森新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv152
東森財經,http://2025.koyeb.app/9.php?id=4gtv-4gtv153
民視新聞,http://2025.koyeb.app/9.php?id=litv-ftv13
中天新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv009
華視新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv052
中視新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv074
台視新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv051
台視財經,http://2025.koyeb.app/9.php?id=4gtv-4gtv056
寰宇新聞,http://2025.koyeb.app/9.php?id=litv-longturn14
寰宇台灣,http://2025.koyeb.app/9.php?id=4gtv-4gtv156
寰宇財經,http://2025.koyeb.app/9.php?id=4gtv-4gtv158
非凡新聞,http://2025.koyeb.app/9.php?id=4gtv-4gtv010
非凡商業,http://2025.koyeb.app/9.php?id=4gtv-4gtv048
華視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=ctshd_twn
中視,http://adorable-davita-2d133c54.koyeb.app/smt.php?id=zhongshihd_twn
台視,http://2025.koyeb.app/9.php?id=4gtv-4gtv066
民視,http://2025.koyeb.app/9.php?id=4gtv-4gtv155
民視旅遊台,http://2025.koyeb.app/9.php?id=litv-ftv07
亞洲旅遊台,http://2025.koyeb.app/9.php?id=4gtv-4gtv076
Smart知識台,http://2025.koyeb.app/9.php?id=litv-longturn19
愛爾達生活旅遊,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live120/index.m3u8
霹靂布袋戲,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live145/index.m3u8
靖天日本台,http://2025.koyeb.app/9.php?id=4gtv-4gtv047
靖天育樂台,http://2025.koyeb.app/9.php?id=4gtv-4gtv062
靖天映畫台,http://2025.koyeb.app/9.php?id=4gtv-4gtv055
靖天國際台,http://2025.koyeb.app/9.php?id=4gtv-4gtv063
靖天資訊台,http://2025.koyeb.app/9.php?id=4gtv-4gtv065
靖天電影台,http://2025.koyeb.app/9.php?id=4gtv-4gtv061
靖天綜合台,http://2025.koyeb.app/9.php?id=4gtv-4gtv046
靖天戲劇台,http://2025.koyeb.app/9.php?id=4gtv-4gtv058
靖天歡樂台,http://2025.koyeb.app/9.php?id=4gtv-4gtv054
靖洋戲劇台,http://2025.koyeb.app/9.php?id=4gtv-4gtv045
靖天卡通台,http://2025.koyeb.app/9.php?id=4gtv-4gtv044
靖洋卡通台,http://2025.koyeb.app/9.php?id=4gtv-4gtv057
龍華電影台,http://2025.koyeb.app/9.php?id=litv-longturn03
龍華洋片台,http://2025.koyeb.app/9.php?id=litv-longturn02
龍華經典台,http://2025.koyeb.app/9.php?id=litv-longturn21
龍華日韓台,http://2025.koyeb.app/9.php?id=litv-longturn11
龍華偶像台,http://2025.koyeb.app/9.php?id=litv-longturn12
