港澳台,#genre#

amc電影台,http://103.251.89.243:50007/4gtv-4gtv017/index.m3u8
ARIRANG阿里郎頻道,http://103.251.89.243:50007/4gtv-4gtv079/index.m3u8
BloombergTV,http://103.251.89.243:50007/4gtv-live059/index.m3u8
CinemaWorld,http://103.251.89.243:50007/4gtv-live069/index.m3u8
CI罪案偵查頻道,http://103.251.89.243:50007/4gtv-live027/index.m3u8
CLASSICA古典樂,http://103.251.89.243:50007/4gtv-4gtv059/index.m3u8
CNBCAsia財經台,http://103.251.89.243:50007/4gtv-live130/index.m3u8
DreamWorks夢工廠動畫,http://103.251.89.243:50007/4gtv-live017/index.m3u8
DW德國之聲,http://103.251.89.243:50007/4gtv-live071/index.m3u8
ELTV生活英語台,http://103.251.89.243:50007/litv-longturn20/index.m3u8
FRANCE24英文台,http://103.251.89.243:50007/4gtv-live146/index.m3u8
fun探索娛樂台,http://103.251.89.243:50007/4gtv-live011/index.m3u8
GINXEsportsTV,http://103.251.89.243:50007/4gtv-4gtv053/index.m3u8
GlobalTrekker,http://103.251.89.243:50007/4gtv-live112/index.m3u8
History歷史頻道,http://103.251.89.243:50007/4gtv-live026/index.m3u8
HITS頻道,http://103.251.89.243:50007/4gtv-live620/index.m3u8
INULTRA,http://103.251.89.243:50007/4gtv-live096/index.m3u8
KLT-靖天國際台,http://103.251.89.243:50007/4gtv-4gtv063/index.m3u8
Lifetime娛樂頻道,http://103.251.89.243:50007/4gtv-live029/index.m3u8
LiveABC互動英語頻道,http://103.251.89.243:50007/4gtv-live030/index.m3u8
LoveNature,http://103.251.89.243:50007/4gtv-live208/index.m3u8
LUXETVChannel,http://103.251.89.243:50007/4gtv-live121/index.m3u8
MagellanTV頻道(麥哲倫頻道),http://103.251.89.243:50007/4gtv-live123/index.m3u8
MezzoLiveHD,http://103.251.89.243:50007/4gtv-4gtv083/index.m3u8
MOMO親子台,http://103.251.89.243:50007/4gtv-live107/index.m3u8
MTVLiveHD音樂頻道,http://103.251.89.243:50007/4gtv-live025/index.m3u8
MyCinemaEuropeHD我的歐洲電影,http://103.251.89.243:50007/4gtv-live157/index.m3u8
