冰茶TV,#genre#

CHC家庭影院,https://migu.188766.xyz/?migutoken=dfaa2848f08f82a7b64f7b20abaef306&id=CHC%E5%AE%B6%E5%BA%AD%E5%BD%B1%E9%99%A2&type=yy
CHC动作电影,https://migu.188766.xyz/?migutoken=f76f9a4401d1e90574ca8914ed633d14&id=CHC%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1&type=yy
CHC影迷电影,https://migu.188766.xyz/?migutoken=48d19b9817576c83ced3b0f3f5f1817e&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&type=yy

CCTV-1 综合,https://migu.188766.xyz/?migutoken=f6f4cbca43639560e15dcee90bf812b3&id=CCTV1&type=yy
CCTV-2 财经,https://migu.188766.xyz/?migutoken=d812ee770e6067cc6208734ed656d557&id=CCTV2&type=yy
CCTV-3 综艺,https://migu.188766.xyz/?migutoken=0821839c1daee1a7fb479aeb687a9f42&id=CCTV3&type=yy
CCTV-4 中文国际,https://migu.188766.xyz/?migutoken=35a4672e60eca213cb81158b7fd3817f&id=CCTV4&type=yy
CCTV-4 中文国际 欧洲,https://migu.188766.xyz/?migutoken=bda91fc45ad75dfdac3148fe6a57044e&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV-4 中文国际 美洲,https://migu.188766.xyz/?migutoken=196c4ceab188a8fb789008ceec8498dc&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
CCTV-5 体育,https://migu.188766.xyz/?migutoken=c2bf14baaf88be58731575e750ba5320&id=CCTV5&type=yy
CCTV-5+ 体育赛事,https://migu.188766.xyz/?migutoken=e01cdebf0326b12ce2dd078061c2d62a&id=CCTV5p&type=yy
CCTV-6 电影,https://migu.188766.xyz/?migutoken=36733e1dfe7a3d106a9c0df1b2ab243c&id=CCTV6&type=yy
CCTV-7 国防军事,https://migu.188766.xyz/?migutoken=cb2502dbacf4715fb26461bdff2a0d34&id=CCTV7&type=yy
CCTV-8 电视剧,https://migu.188766.xyz/?migutoken=6a886541829f8c636265730b0974f503&id=CCTV8&type=yy
CCTV-9 纪录,https://migu.188766.xyz/?migutoken=4217728e749b2fd5f313fbf02af9cae1&id=CCTV9&type=yy
CCTV-10 科教,https://migu.188766.xyz/?migutoken=ac43394f9bf577bc204aa5477a1ab01d&id=CCTV10&type=yy
CCTV-11 戏曲,https://migu.188766.xyz/?migutoken=c7dffe357e78bacacffdbdbc768f7182&id=CCTV11&type=yy
CCTV-12 社会与法,https://migu.188766.xyz/?migutoken=56c4efa61104b4240d5d9b8d5f7e366c&id=CCTV12&type=yy
CCTV-13 新闻,https://migu.188766.xyz/?migutoken=a242586a793bcf8f0da72dc2f2a9160b&id=CCTV13&type=yy
CCTV-14 少儿,https://migu.188766.xyz/?migutoken=f94b8d46128b6fb3042d589549b66527&id=CCTV14&type=yy
CCTV-15 音乐,https://migu.188766.xyz/?migutoken=c2779cbd94a5d3f8850bfe0326f92a51&id=CCTV15&type=yy
CCTV-17 农业农村,https://migu.188766.xyz/?migutoken=915965a3c209b4a3a9225ffecf328816&id=CCTV17&type=yy

湖南卫视,https://migu.188766.xyz/?migutoken=d98a66de60a974abf77977c44168cc77&id=hnws&type=sz
