141新聞,#genre#

TVBS新聞,http://141.11.87.241:20013/li-4gtv-4gtv072/index.m3u8?proxy=true
民視新聞,http://141.11.87.241:20013/li-litv-ftv13/index.m3u8?proxy=true
民視新聞,http://141.11.87.241:20013/litv-ftv13/index.m3u8?proxy=true
東森新聞,http://141.11.87.241:20013/4gtv-4gtv152/index.m3u8?proxy=true
東森新聞,http://141.11.87.241:20013/li-4gtv-4gtv152/index.m3u8?proxy=true
東森財經,http://141.11.87.241:20013/4gtv-4gtv153/index.m3u8?proxy=true
東森財經,http://141.11.87.241:20013/li-4gtv-4gtv153/index.m3u8?proxy=true
三立iNEWS,http://141.11.87.241:20013/4gtv-live089/index.m3u8?proxy=true
三立iNEWS,http://141.11.87.241:20013/iNEWS/index.m3u8?proxy=true
中天新聞,http://141.11.87.241:20013/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞,http://141.11.87.241:20013/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞,http://141.11.87.241:20013/of-4gtv-4gtv009/index.m3u8?proxy=true

華視新聞,http://141.11.87.241:20013/4gtv-4gtv052/index.m3u8?proxy=true
中視新聞,http://141.11.87.241:20013/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞,http://141.11.87.241:20013/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞,http://141.11.87.241:20013/of-4gtv-4gtv074/index.m3u8?proxy=true
台視新聞,http://141.11.87.241:20013/4gtv-4gtv051/index.m3u8?proxy=true
台視新聞,http://141.11.87.241:20013/li-4gtv-4gtv051/index.m3u8?proxy=true
寰宇新聞,http://141.11.87.241:20013/li-litv-longturn14/index.m3u8?proxy=true
寰宇新聞,http://141.11.87.241:20013/litv-longturn14/index.m3u8?proxy=true
寰宇新聞,http://141.11.87.241:20013/of-litv-longturn14/index.m3u8?proxy=true
寰宇台灣,http://141.11.87.241:20013/4gtv-4gtv156/index.m3u8?proxy=true
寰宇台灣,http://141.11.87.241:20013/li-4gtv-4gtv156/index.m3u8?proxy=true
寰宇台灣,http://141.11.87.241:20013/of-4gtv-4gtv156/index.m3u8?proxy=true
鏡新聞,http://141.11.87.241:20013/4gtv-4gtv075/index.m3u8?proxy=true
鏡新聞,http://141.11.87.241:20013/li-4gtv-4gtv075/index.m3u8?proxy=true

華視,http://141.11.87.241:20013/4gtv-4gtv041/index.m3u8?proxy=true
華視,http://141.11.87.241:20013/li-4gtv-4gtv041/index.m3u8?proxy=true
華視,http://141.11.87.241:20013/of-4gtv-4gtv041/index.m3u8?proxy=true
中視,http://141.11.87.241:20013/4gtv-4gtv040/index.m3u8?proxy=true
中視,http://141.11.87.241:20013/li-4gtv-4gtv040/index.m3u8?proxy=true
