4gtv+litv,#genre#

TVBS新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv072/index.m3u8?proxy=true
東森新聞,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv152/index.m3u8?proxy=true
東森新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv152/index.m3u8?proxy=true
東森財經,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv153/index.m3u8?proxy=true
東森財經,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv153/index.m3u8?proxy=true
民視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-litv-ftv13/index.m3u8?proxy=true
民視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/litv-ftv13/index.m3u8?proxy=true
三立iNEWS,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-live089/index.m3u8?proxy=true
三立iNEWS,http://tw-ty-line1-4-7.sudatech.store:21138/iNEWS/index.m3u8?proxy=true
中天新聞,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞,http://tw-ty-line1-4-7.sudatech.store:21138/of-4gtv-4gtv009/index.m3u8?proxy=true
華視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv052/index.m3u8?proxy=true
華視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv052/index.m3u8?proxy=true
華視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/of-4gtv-4gtv052/index.m3u8?proxy=true
中視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/li-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/of-4gtv-4gtv074/index.m3u8?proxy=true
台視新聞,http://tw-ty-line1-4-7.sudatech.store:21138/4gtv-4gtv051/index.m3u8?proxy=true
