4gtv網頁,#genre#
parse=1

TVBS新聞台,https://www.4gtv.tv/channel/media-live072?set=1&ch=473
東森新聞台,https://www.4gtv.tv/channel/4gtv-4gtv152?set=1&ch=292		
東森財經台,https://www.4gtv.tv/channel/4gtv-4gtv153?set=1&ch=293		
民視新聞台,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31		
中天新聞台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=30		
華視新聞台,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34		
中視新聞台,https://www.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=33	
寰宇新聞台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=36		
寰宇台灣台,https://www.4gtv.tv/channel/4gtv-4gtv156?set=1&ch=280		
鏡新聞台,https://www.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268		

華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6		
中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4		
民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3		

民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=61		
亞洲旅遊台,https://www.4gtv.tv/channel/4gtv-4gtv076?set=1&ch=250		
愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237		
Love Nature,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=139		
Pet Club TV,https://www.4gtv.tv/channel/4gtv-4gtv110?set=1&ch=464		
Nick Jr. 兒童頻道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=219		
尼克兒童頻道,https://www.4gtv.tv/channel/4gtv-live105?set=1&ch=185		
History 歷史頻道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214		

靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22		
靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=83		
靖天映畫台,https://www.4gtv.tv/channel/4gtv-4gtv055?set=1&ch=42		
靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=84		
靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=88		
靖天電影台,https://www.4gtv.tv/channel/4gtv-4gtv061?set=1&ch=82		
靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21		
靖天戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv058?set=1&ch=116		
靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=119		
靖洋戲劇台,https://www.4gtv.tv/channel/4gtv-4gtv045?set=1&ch=118		
靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15	
靖洋卡通台,https://www.4gtv.tv/channel/4gtv-4gtv057?set=1&ch=59		

amc電影台,https://www.4gtv.tv/channel/4gtv-4gtv017?set=1&ch=39		
CinemaWorld,https://www.4gtv.tv/channel/4gtv-live069?set=1&ch=225		
我的歐洲電影,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=463		
影迷數位電影台,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40		

TVBS,https://www.4gtv.tv/channel/media-live073?set=1&ch=472		
TVBS台劇台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285		
TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227		
TVBS綜藝台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284		
TVBS歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184		
八大精彩台,https://www.4gtv.tv/channel/4gtv-4gtv034?set=1&ch=172		
八大綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=114		
三立財經台,https://www.4gtv.tv/channel/4gtv-live089?set=1&ch=229		
三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=169		
民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2		
民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1		
民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16		
民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24		
采昌影劇台,https://www.4gtv.tv/channel/4gtv-4gtv049?set=1&ch=25		
愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19		
影迷數位紀實台,https://www.4gtv.tv/channel/litv-ftv15?set=1&ch=445		
韓國娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv016?set=1&ch=446		
			
