Judy非常卡的烏龜源,#genre#

GINX Esports TV,http://docker.livednow.dpdns.org/4gtv-4gtv053/index.m3u8?proxy=true
GINX Esports TV,http://docker.livednow.dpdns.org/li-4gtv-4gtv053/index.m3u8?proxy=true
Lifetime,http://docker.livednow.dpdns.org/4gtv-live029/index.m3u8?proxy=true
amc 電影台,http://docker.livednow.dpdns.org/4gtv-4gtv017/index.m3u8?proxy=true
amc 電影台,http://docker.livednow.dpdns.org/li-4gtv-4gtv017/index.m3u8?proxy=true
Arirang TV,http://docker.livednow.dpdns.org/4gtv-4gtv079/index.m3u8?proxy=true
Arirang TV,http://docker.livednow.dpdns.org/li-4gtv-4gtv079/index.m3u8?proxy=true
BLOOMBERG TV,http://docker.livednow.dpdns.org/4gtv-live059/index.m3u8?proxy=true
CI 罪案偵查頻道,http://docker.livednow.dpdns.org/4gtv-live027/index.m3u8?proxy=true
Cinema World,http://docker.livednow.dpdns.org/4gtv-live069/index.m3u8?proxy=true
CLASSICA 古典樂,http://docker.livednow.dpdns.org/4gtv-4gtv059/index.m3u8?proxy=true
CLASSICA 古典樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv059/index.m3u8?proxy=true
CNBC Asia 財經台,http://docker.livednow.dpdns.org/4gtv-live130/index.m3u8?proxy=true
DreamWorks,http://docker.livednow.dpdns.org/4gtv-live017/index.m3u8?proxy=true
DW德國之聲,http://docker.livednow.dpdns.org/4gtv-live071/index.m3u8?proxy=true
ELTA生活旅遊,http://docker.livednow.dpdns.org/4gtv-live120/index.m3u8?proxy=true
ELTA娛樂,http://docker.livednow.dpdns.org/4gtv-4gtv070/index.m3u8?proxy=true
ELTA娛樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv070/index.m3u8?proxy=true
ELTV生活英語台,http://docker.livednow.dpdns.org/li-litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://docker.livednow.dpdns.org/litv-longturn20/index.m3u8?proxy=true
ELTV生活英語台,http://docker.livednow.dpdns.org/of-litv-longturn20/index.m3u8?proxy=true
FRANCE24 英文台,http://docker.livednow.dpdns.org/4gtv-live146/index.m3u8?proxy=true
FUN 4K探索娛樂,http://docker.livednow.dpdns.org/4gtv-live011/index.m3u8?proxy=true
Global Trekker,http://docker.livednow.dpdns.org/4gtv-live112/index.m3u8?proxy=true
HITS,http://docker.livednow.dpdns.org/4gtv-live620/index.m3u8?proxy=true
INULTRA,http://docker.livednow.dpdns.org/4gtv-live096/index.m3u8?proxy=true
LiveABC 互動英語台,http://docker.livednow.dpdns.org/4gtv-live030/index.m3u8?proxy=true
LOVE NATURE,http://docker.livednow.dpdns.org/4gtv-live208/index.m3u8?proxy=true
LUXE TV,http://docker.livednow.dpdns.org/4gtv-live121/index.m3u8?proxy=true
MagellanTV頻道,http://docker.livednow.dpdns.org/4gtv-live123/index.m3u8?proxy=true
MEZZO LIVE HD,http://docker.livednow.dpdns.org/4gtv-4gtv083/index.m3u8?proxy=true
MEZZO LIVE HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv083/index.m3u8?proxy=true
MOMO親子,http://docker.livednow.dpdns.org/4gtv-live107/index.m3u8?proxy=true
MTV Live,http://docker.livednow.dpdns.org/4gtv-live025/index.m3u8?proxy=true
Nick Jr.,http://docker.livednow.dpdns.org/4gtv-live032/index.m3u8?proxy=true
Nickelodeon,http://docker.livednow.dpdns.org/4gtv-live105/index.m3u8?proxy=true
Pet Club TV,http://docker.livednow.dpdns.org/4gtv-live110/index.m3u8?proxy=true
ROCK Action,http://docker.livednow.dpdns.org/4gtv-live138/index.m3u8?proxy=true
ROCK Entertainment,http://docker.livednow.dpdns.org/4gtv-live080/index.m3u8?proxy=true
SBN 全球財經台,http://docker.livednow.dpdns.org/4gtv-live060/index.m3u8?proxy=true
Smart知識台1,http://docker.livednow.dpdns.org/li-litv-longturn19/index.m3u8?proxy=true
Smart知識台2,http://docker.livednow.dpdns.org/litv-longturn19/index.m3u8?proxy=true
TRACE Sport Stars,http://docker.livednow.dpdns.org/4gtv-4gtv077/index.m3u8?proxy=true
TRACE Sport Stars,http://docker.livednow.dpdns.org/li-4gtv-4gtv077/index.m3u8?proxy=true
Trace Urban,http://docker.livednow.dpdns.org/4gtv-4gtv082/index.m3u8?proxy=true
Trace Urban,http://docker.livednow.dpdns.org/li-4gtv-4gtv082/index.m3u8?proxy=true
TV5MONDE Style,http://docker.livednow.dpdns.org/4gtv-live122/index.m3u8?proxy=true
TVBS HD,http://docker.livednow.dpdns.org/4gtv-4gtv073/index.m3u8?proxy=true
TVBS HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv073/index.m3u8?proxy=true
TVBS台劇台,http://docker.livednow.dpdns.org/4gtv-live088/index.m3u8?proxy=true
TVBS新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv072/index.m3u8?proxy=true
TVBS精采台,http://docker.livednow.dpdns.org/4gtv-4gtv067/index.m3u8?proxy=true
TVBS精采台,http://docker.livednow.dpdns.org/li-4gtv-4gtv067/index.m3u8?proxy=true
TVBS綜藝台,http://docker.livednow.dpdns.org/4gtv-live087/index.m3u8?proxy=true
TVBS歡樂台,http://docker.livednow.dpdns.org/4gtv-4gtv068/index.m3u8?proxy=true
TVBS歡樂台,http://docker.livednow.dpdns.org/li-4gtv-4gtv068/index.m3u8?proxy=true
VOA 美國之音,http://docker.livednow.dpdns.org/li-litv-ftv03/index.m3u8?proxy=true
VOA 美國之音,http://docker.livednow.dpdns.org/litv-ftv03/index.m3u8?proxy=true
人間衛視,http://docker.livednow.dpdns.org/4gtv-live008/index.m3u8?proxy=true
八大精彩,http://docker.livednow.dpdns.org/4gtv-4gtv034/index.m3u8?proxy=true
八大精彩,http://docker.livednow.dpdns.org/li-4gtv-4gtv034/index.m3u8?proxy=true
八大綜藝,http://docker.livednow.dpdns.org/4gtv-4gtv039/index.m3u8?proxy=true
八大綜藝,http://docker.livednow.dpdns.org/li-4gtv-4gtv039/index.m3u8?proxy=true
三立iNEWS,http://docker.livednow.dpdns.org/4gtv-live089/index.m3u8?proxy=true
三立iNEWS,http://docker.livednow.dpdns.org/iNEWS/index.m3u8?proxy=true
三立綜合合,http://docker.livednow.dpdns.org/4gtv-live207/index.m3u8?proxy=true
三立綜合合,http://docker.livednow.dpdns.org/4gtv-live207/index.m3u8?proxy=true
大愛二台,http://docker.livednow.dpdns.org/4gtv-live106/index.m3u8?proxy=true
大愛電視,http://docker.livednow.dpdns.org/4gtv-live007/index.m3u8?proxy=true
中天亞洲台,http://docker.livednow.dpdns.org/4gtv-4gtv109/index.m3u8?proxy=true
中天新聞台,http://docker.livednow.dpdns.org/4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新聞台,http://docker.livednow.dpdns.org/of-4gtv-4gtv009/index.m3u8?proxy=true
中視,http://docker.livednow.dpdns.org/4gtv-4gtv040/index.m3u8?proxy=true
中視,http://docker.livednow.dpdns.org/li-4gtv-4gtv040/index.m3u8?proxy=true
中視,http://docker.livednow.dpdns.org/of-4gtv-4gtv040/index.m3u8?proxy=true
中視菁采台,http://docker.livednow.dpdns.org/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://docker.livednow.dpdns.org/li-4gtv-4gtv064/index.m3u8?proxy=true
中視新聞台,http://docker.livednow.dpdns.org/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://docker.livednow.dpdns.org/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞台,http://docker.livednow.dpdns.org/of-4gtv-4gtv074/index.m3u8?proxy=true
中視經典台,http://docker.livednow.dpdns.org/4gtv-4gtv080/index.m3u8?proxy=true
中視經典台,http://docker.livednow.dpdns.org/li-4gtv-4gtv080/index.m3u8?proxy=true
公視戲劇,http://docker.livednow.dpdns.org/4gtv-4gtv042/index.m3u8?proxy=true
公視戲劇,http://docker.livednow.dpdns.org/li-4gtv-4gtv042/index.m3u8?proxy=true
半島國際新聞台,http://docker.livednow.dpdns.org/li-litv-ftv10/index.m3u8?proxy=true
半島國際新聞台,http://docker.livednow.dpdns.org/litv-ftv10/index.m3u8?proxy=true
台視HD,http://docker.livednow.dpdns.org/4gtv-4gtv066/index.m3u8?proxy=true
台視HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv066/index.m3u8?proxy=true
台視財經台,http://docker.livednow.dpdns.org/4gtv-4gtv056/index.m3u8?proxy=true
台視新聞台,http://docker.livednow.dpdns.org/4gtv-4gtv051/index.m3u8?proxy=true
台視新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv051/index.m3u8?proxy=true
台灣戲劇台,http://docker.livednow.dpdns.org/li-litv-longturn22/index.m3u8?proxy=true
台灣戲劇台,http://docker.livednow.dpdns.org/litv-longturn22/index.m3u8?proxy=true
民視HD,http://docker.livednow.dpdns.org/4gtv-4gtv002/index.m3u8?proxy=true
民視台灣台,http://docker.livednow.dpdns.org/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://docker.livednow.dpdns.org/li-4gtv-4gtv001/index.m3u8?proxy=true
民視旅遊1,http://docker.livednow.dpdns.org/li-litv-ftv07/index.m3u8?proxy=true
民視旅遊2,http://docker.livednow.dpdns.org/litv-ftv07/index.m3u8?proxy=true
