香港,#genre#
香港|翡翠台,https://live.catvod.com/smart.php?id=jade_twn
香港|翡翠台 backup,https://live.catvod.com/smart.php?id=Jade_xue
香港|华丽翡翠台,https://live.catvod.com/smart.php?id=Tvbjade
香港|TVB星河,https://live.catvod.com/smart.php?id=Xinhe
香港|娱乐新闻台,https://live.catvod.com/smart.php?id=Tvbentertainment
香港|iNews 新闻台,https://live.catvod.com/smart.php?id=inews_twn
香港|J 2,https://live.catvod.com/smart.php?id=j2_twn
香港|珍珠台,https://live.catvod.com/smart.php?id=pearl_twn
香港|千禧经典台,https://live.catvod.com/smart.php?id=Tvbclassic
香港|凤凰香港,https://live.catvod.com/smart.php?id=hkphoenix_twn
香港|HOY资讯台,https://live.catvod.com/smart.php?id=hoycaijing_twn
香港|RHK 31,https://live.catvod.com/smart.php?id=rhk31_twn
香港|VIUTV1,https://live.catvod.com/smart.php?id=viu1_twn
香港|RHK 32,https://live.catvod.com/smart.php?id=rhk32_twn
香港|凤凰卫视,https://live.catvod.com/smart.php?id=phoenixtv_hd
香港|凤凰资讯,https://live.catvod.com/smart.php?id=phoenixinfo_hd
香港|Viu6,https://live.catvod.com/smart.php?id=viusix_twn

中国,#genre#
中国|CCTV-1 综合 HD,https://live.catvod.com/smart.php?id=cctv1
中国|CCTV-2 财经,https://live.catvod.com/smart.php?id=cctv2
中国|CCTV-3 综艺 HD,https://live.catvod.com/smart.php?id=cctv3
中国|CCTV-4 中文国际,https://live.catvod.com/smart.php?id=cctv4
中国|CCTV4 新闻台,https://live.catvod.com/smart.php?id=Cctv4
中国|CCTV-7 军事农业,https://live.catvod.com/smart.php?id=cctv7
中国|CCTV-8 电视剧 HD,https://live.catvod.com/smart.php?id=cctv8hd
中国|CCTV-9 记录 HD,https://live.catvod.com/smart.php?id=cctv9hd
中国|CCTV-10 科教 HD,https://live.catvod.com/smart.php?id=cctv10hd
中国|CCTV-11 戏曲,https://live.catvod.com/smart.php?id=cctv11
中国|CCTV-12 社会与法,https://live.catvod.com/smart.php?id=cctv12
中国|CCTV-13 新闻频道,https://live.catvod.com/smart.php?id=cctv13
中国|CCTV-14 少儿,https://live.catvod.com/smart.php?id=cctv14
中国|CCTV-6,https://live.catvod.com/smart.php?id=cctv6
中国|CCTV-15 音乐,https://live.catvod.com/smart.php?id=cctv15
中国|湖南卫视,https://live.catvod.com/smart.php?id=hunan_twn
中国|浙江卫视,https://live.catvod.com/smart.php?id=zhejiang_twn
中国|江苏卫视,https://live.catvod.com/smart.php?id=jiangsu_twn
中国|深圳卫视,https://live.catvod.com/smart.php?id=shenzhen
中国|福建东南卫视,https://live.catvod.com/smart.php?id=fujian
