catvod,#genre#

翡翠台,https://live.catvod.com/iptv.php?id=fct002
翡翠台,https://live.catvod.com/iptv.php?id=fct003
翡翠台,https://live.catvod.com/iptv.php?id=fct004
明珠台,https://live.catvod.com/iptv.php?id=mzt001
TVB J1,https://live.catvod.com/iptv.php?id=j1na001
TVB Plus,https://live.catvod.com/iptv.php?id=tvbplus2
无线新闻,https://live.catvod.com/iptv.php?id=tvbxw01
VIU TV,https://live.catvod.com/iptv.php?id=viutv02
HOY TV,https://live.catvod.com/iptv.php?id=hoytv01
HOY TV,https://live.catvod.com/iptv.php?id=hoytv02
HOY剧集台,https://live.catvod.com/iptv.php?id=hoyjj01
凤凰中文,https://live.catvod.com/iptv.php?id=phzw01
凤凰资讯,https://live.catvod.com/iptv.php?id=phzx01
凤凰香港,https://live.catvod.com/iptv.php?id=fhhk01
重温经典,https://live.catvod.com/iptv.php?id=cwjd01
广东珠江,https://live.catvod.com/iptv.php?id=gdzj01
广东体育,https://live.catvod.com/iptv.php?id=gdty01
澳视澳门,https://live.catvod.com/iptv.php?id=asam01
澳视卫星,https://live.catvod.com/iptv.php?id=asws01
澳门体育,https://live.catvod.com/iptv.php?id=amty01
澳门综艺,https://live.catvod.com/iptv.php?id=amzy01
澳门莲花,https://live.catvod.com/iptv.php?id=amlh01
RTHK31,https://live.catvod.com/iptv.php?id=rthk31
RTHK32,https://live.catvod.com/iptv.php?id=rthk32
CCTV1港澳版,https://live.catvod.com/iptv.php?id=rthk33
八度空间,https://live.catvod.com/iptv.php?id=8tv001
CH5,https://live.catvod.com/iptv.php?id=ch5001
CH8,https://live.catvod.com/iptv.php?id=ch8001
CHU,https://live.catvod.com/iptv.php?id=chu001

龍華電影,https://live.catvod.com/iptv.php?id=lhdy01
龍華洋片,https://live.catvod.com/iptv.php?id=lhyp01
龍華經典,https://live.catvod.com/iptv.php?id=lhjd01
龍華日韓,https://live.catvod.com/iptv.php?id=lhrh01
龍華偶像,https://live.catvod.com/iptv.php?id=lhox01
