央視,#genre#

CCTV-1综合,https://tv.cctv.com/live/cctv1
CCTV-2财经,https://tv.cctv.com/live/cctv2
CCTV-3综艺,https://tv.cctv.com/live/cctv3
CCTV-4中文国际（亚）,https://tv.cctv.com/live/cctv4
CCTV-4中文国际（欧）,https://tv.cctv.com/live/cctveurope
CCTV-4中文国际（美）,https://tv.cctv.com/live/cctvamerica
CCTV-5体育,https://tv.cctv.com/live/cctv5
CCTV-5+体育赛事,https://tv.cctv.com/live/cctv5plus
CCTV-6电影,https://tv.cctv.com/live/cctv6
CCTV-7国防军事,https://tv.cctv.com/live/cctv7
CCTV-8电视剧,https://tv.cctv.com/live/cctv8
CCTV-9纪录,https://tv.cctv.com/live/cctvjilu
CCTV-10科教,https://tv.cctv.com/live/cctv10
CCTV-11戏曲,https://tv.cctv.com/live/cctv11
CCTV-12社会与法,https://tv.cctv.com/live/cctv12
CCTV-13 新闻,https://tv.cctv.com/live/cctv13
CCTV-14少儿,https://tv.cctv.com/live/cctvchild
CCTV-15音乐,https://tv.cctv.com/live/cctv15
CCTV-16奥林匹克,https://tv.cctv.com/live/cctv16
CCTV-17农业农村,https://tv.cctv.com/live/cctv17
