ezc,#genre#

民視,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv002
民視第一台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv003
民視新聞台,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv13
民視台灣台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv001
民視影劇台,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv09
民視旅遊台,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv07
民視綜藝台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv004
中視,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv040
中視新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv074
中天新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv009
華視,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv041
華視新聞,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv052
靖天綜合台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv046
靖天國際台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv063
靖天戲劇台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv058
靖天日本台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv047
靖天映畫台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv055
靖天卡通台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv044
靖天育樂台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv062
靖天資訊台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv065
靖天電影台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv061
靖天歡樂台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv054
龍華偶像台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang12
龍華卡通台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang01
龍華戲劇台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang18
龍華經典台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang21
龍華電影台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang03
龍華洋片台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang02
靖洋戲劇台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv045
靖洋卡通NiceBingo,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv057
寰宇新聞台,http://ezc.xtvantsc.xyz/litv.php?id=litv-longturn14
寰宇新聞台灣台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv156
寰宇財經台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv158
TVBS精采台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv067
八大精彩台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv034
八大綜藝台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv039
ELTA娛樂台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv070
ELTV生活英語,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang20
東森新聞,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv152
東森財經新聞,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv153
鏡電視新聞台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv075
亞洲旅遊台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv076
GINXEsportsTV,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv053
時尚運動X,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv014
智林體育台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv101
TraceSports,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv077
影迷數位電影台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv011
AMC電影台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv017
公視戲劇台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv042
采昌影劇台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv049
台灣戲劇台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang22
影迷數位紀實台,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv15
達文西頻道,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv018
Classica古典樂,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv059
MezzoLive,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv083
豬哥亮歌廳秀,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv006
TraceUrban,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv082
韓國娛樂台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv016
ArirangTV,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv079
MCE 我的歐洲電影,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv10
第1商業台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv104
Pet Club TV,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv110
Smart知識台,http://ezc.xtvantsc.xyz/litv.php?id=litv-xinchuang19
視納華仁紀實頻道,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv013
客家電視台,http://ezc.xtvantsc.xyz/litv.php?id=4gtv-4gtv043
好消息,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv16
好消息2台,http://ezc.xtvantsc.xyz/litv.php?id=litv-ftv17
