河南建成大學,#genre#

CCTV-1高清,http://iptv.huuc.edu.cn/player.html?channel=cctv1hd
CCTV-2高清,http://iptv.huuc.edu.cn/player.html?channel=cctv2hd
CCTV-3高清,http://iptv.huuc.edu.cn/player.html?channel=cctv3hd
CCTV-4高清,http://iptv.huuc.edu.cn/player.html?channel=cctv4hd
CCTV-5高清,http://iptv.huuc.edu.cn/player.html?channel=cctv5hd
CCTV-5+高清,http://iptv.huuc.edu.cn/player.html?channel=cctv5phd
CCTV-6高清,http://iptv.huuc.edu.cn/player.html?channel=cctv6hd
CCTV-7高清,http://iptv.huuc.edu.cn/player.html?channel=cctv7hd
CCTV-8高清,http://iptv.huuc.edu.cn/player.html?channel=cctv8hd
CCTV-9高清,http://iptv.huuc.edu.cn/player.html?channel=cctv9hd
CCTV-10高清,http://iptv.huuc.edu.cn/player.html?channel=cctv10hd
CCTV-12高清,http://iptv.huuc.edu.cn/player.html?channel=cctv12hd
CCTV-13高清,http://iptv.huuc.edu.cn/player.html?channel=cctv13hd
CCTV-14高清,http://iptv.huuc.edu.cn/player.html?channel=cctv14hd

CHC高清电影,http://iptv.huuc.edu.cn/player.html?channel=chchd
CHC动作电影,http://iptv.huuc.edu.cn/player.html?channel=chcatv
CHC家庭影院,http://iptv.huuc.edu.cn/player.html?channel=chctv

江苏卫视高清,http://iptv.huuc.edu.cn/player.html?channel=jshd
浙江卫视高清,http://iptv.huuc.edu.cn/player.html?channel=zjhd
湖南卫视高清,http://iptv.huuc.edu.cn/player.html?channel=hunanhd
北京卫视高清,http://iptv.huuc.edu.cn/player.html?channel=btv1hd
东方卫视高清,http://iptv.huuc.edu.cn/player.html?channel=dfhd

上海纪实高清,http://iptv.huuc.edu.cn/player.html?channel=docuchina
山东卫视,http://iptv.huuc.edu.cn/player.html?channel=sdtv
山东卫视高清,http://iptv.huuc.edu.cn/player.html?channel=sdhd
山西卫视,http://iptv.huuc.edu.cn/player.html?channel=sxrtv
广东卫视,http://iptv.huuc.edu.cn/player.html?channel=gdtv
广东卫视高清,http://iptv.huuc.edu.cn/player.html?channel=gdhd
广西卫视,http://iptv.huuc.edu.cn/player.html?channel=gxtv
云南卫视,http://iptv.huuc.edu.cn/player.html?channel=yntv
内蒙古卫视,http://iptv.huuc.edu.cn/player.html?channel=nmtv
天津卫视,http://iptv.huuc.edu.cn/player.html?channel=tjtv
天津卫视高清,http://iptv.huuc.edu.cn/player.html?channel=tjhd
东方卫视,http://iptv.huuc.edu.cn/player.html?channel=dftv
四川卫视,http://iptv.huuc.edu.cn/player.html?channel=sctv
四川卫视高清,http://iptv.huuc.edu.cn/player.html?channel=schd
宁夏卫视,http://iptv.huuc.edu.cn/player.html?channel=nxtv
甘肃卫视,http://iptv.huuc.edu.cn/player.html?channel=gstv
吉林卫视,http://iptv.huuc.edu.cn/player.html?channel=jltv
安徽卫视,http://iptv.huuc.edu.cn/player.html?channel=ahtv
安徽卫视高清,http://iptv.huuc.edu.cn/player.html?channel=ahhd
江西卫视,http://iptv.huuc.edu.cn/player.html?channel=jxtv
江西卫视高清,http://iptv.huuc.edu.cn/player.html?channel=jxhd
江苏卫视,http://iptv.huuc.edu.cn/player.html?channel=jstv
西藏卫视,http://iptv.huuc.edu.cn/player.html?channel=xztv
辽宁卫视,http://iptv.huuc.edu.cn/player.html?channel=lntv
辽宁卫视高清,http://iptv.huuc.edu.cn/player.html?channel=lnhd
兵团卫视,http://iptv.huuc.edu.cn/player.html?channel=bttv
河北卫视,http://iptv.huuc.edu.cn/player.html?channel=hebtv
河北卫视高清,http://iptv.huuc.edu.cn/player.html?channel=hebhd
河南卫视,http://iptv.huuc.edu.cn/player.html?channel=hntv
青海卫视,http://iptv.huuc.edu.cn/player.html?channel=qhtv
贵州卫视,http://iptv.huuc.edu.cn/player.html?channel=gztv
重庆卫视,http://iptv.huuc.edu.cn/player.html?channel=cqtv
重庆卫视高清,http://iptv.huuc.edu.cn/player.html?channel=cqhd
陕西卫视,http://iptv.huuc.edu.cn/player.html?channel=sxtv
浙江卫视,http://iptv.huuc.edu.cn/player.html?channel=zjtv
深圳卫视,http://iptv.huuc.edu.cn/player.html?channel=sztv
深圳卫视高清,http://iptv.huuc.edu.cn/player.html?channel=szhd
厦门卫视,http://iptv.huuc.edu.cn/player.html?channel=xmtv
湖北卫视,http://iptv.huuc.edu.cn/player.html?channel=hbtv
湖北卫视高清,http://iptv.huuc.edu.cn/player.html?channel=hbhd
湖南卫视,http://iptv.huuc.edu.cn/player.html?channel=hunantv
新疆卫视,http://iptv.huuc.edu.cn/player.html?channel=xjtv
福建东南卫视,http://iptv.huuc.edu.cn/player.html?channel=dntv
福建东南卫视高清,http://iptv.huuc.edu.cn/player.html?channel=dnhd
黑龙江卫视,http://iptv.huuc.edu.cn/player.html?channel=hljtv
黑龙江卫视高清,http://iptv.huuc.edu.cn/player.html?channel=hljhd

金鹰纪实高清,http://iptv.huuc.edu.cn/player.html?channel=gedocu
北京文艺高清,http://iptv.huuc.edu.cn/player.html?channel=btv2hd
北京体育高清,http://iptv.huuc.edu.cn/player.html?channel=btv6hd
北京影视高清,http://iptv.huuc.edu.cn/player.html?channel=btv4hd
北京新闻高清,http://iptv.huuc.edu.cn/player.html?channel=btv9hd
北京纪实高清,http://iptv.huuc.edu.cn/player.html?channel=btv11hd
