iptv345,#genre#

TVBS HD,https://iptv345.com/?act=play&token=b932e682840d56bd79f4e7ae34122b4a&tid=litv&id=1
AMC電影台,https://iptv345.com/?act=play&token=f7aa962864fd4db10b53107488395a07&tid=litv&id=28
GinxTV,https://iptv345.com/?act=play&token=f585aa22db47d0b74bcd1593afa70d44&tid=litv&id=100
MEZZO LIVE,https://iptv345.com/?act=play&token=e8996fe3a80060005d9e016f32e560df&tid=litv&id=98
Smart知識台,https://iptv345.com/?act=play&token=c74bb9ea82bf3e48c42778c48eb495b8&tid=litv&id=86
TRACE SPORTS STARS,https://iptv345.com/?act=play&token=7b0b9f92d74b9175fcd8e55253fcb41e&tid=litv&id=54
TRACE URBAN,https://iptv345.com/?act=play&token=52960c497d47eb8ce38726c7d2dc89c3&tid=litv&id=97
TVBS歡樂台,https://iptv345.com/?act=play&token=8882a18ff413d1cd2478a524f0ae1ff6&tid=litv&id=62
TVBS新聞台,https://iptv345.com/?act=play&token=69e4241bb9d88c1e04acd4c1cd7e2c9d&tid=litv&id=2
TVBS精采台,https://iptv345.com/?act=play&token=e893594b145f67fc4793ffdee651a585&tid=litv&id=61
八大綜藝台,https://iptv345.com/?act=play&token=e2502645b525acb14954b704bb55251b&tid=litv&id=60
八大精彩台,https://iptv345.com/?act=play&token=07f56b52e5830ab8e617b183dce2f6be&tid=litv&id=59
中天亞洲台,https://iptv345.com/?act=play&token=086798d34a186d5de1a00fa0589f5c2b&tid=litv&id=4
中天新聞,https://iptv345.com/?act=play&token=b2f69bfb54e8f51ea01ecbbfc85f7a2b&tid=litv&id=3
中視,https://iptv345.com/?act=play&token=08e1870ae6f6825d72040eb122b191a2&tid=litv&id=22
中視經典,https://iptv345.com/?act=play&token=45d7c69fe2c3b7640ef945f3d3dfbaee&tid=litv&id=35
中視菁采,https://iptv345.com/?act=play&token=78e3f2749c9a40534a6d02a2a891d67c&tid=litv&id=58
中視新聞,https://iptv345.com/?act=play&token=494266724b79204219e4badecde5c19c&tid=litv&id=8
公視戲劇,https://iptv345.com/?act=play&token=c51c56f7396f7b08d193b9b5cecac342&tid=litv&id=39
東森財經新聞,https://iptv345.com/?act=play&token=7d21869566a87c602eca888ff460c6e9&tid=litv&id=12
東森新聞,https://iptv345.com/?act=play&token=ed6f08750c0c785455f6cd9af4ce69ce&tid=litv&id=11
半島新聞,https://iptv345.com/?act=play&token=716bcc67dba392c29d1959b64098c9a7&tid=litv&id=13
古典音樂台,https://iptv345.com/?act=play&token=a3707bf0297de000ed5520ba724f9df3&tid=litv&id=81
台視,https://iptv345.com/?act=play&token=d12f07f405624a062a2ad1379310a600&tid=litv&id=19
台視財經,https://iptv345.com/?act=play&token=ec1f94a2d42bc410e6070e008a63a21f&tid=litv&id=7
台視新聞,https://iptv345.com/?act=play&token=d76fac13a9e3eeeabc120f640845fe74&tid=litv&id=5
台灣戲劇台,https://iptv345.com/?act=play&token=85b4f62643d2a31d80f9d136720f174b&tid=litv&id=36
民視,https://iptv345.com/?act=play&token=c6c52e53939e7f96de088cc3dd3030ab&tid=litv&id=20
民視台灣台,https://iptv345.com/?act=play&token=3da4fe230cadfae1f29d1952bdf16efe&tid=litv&id=15
民視旅遊,https://iptv345.com/?act=play&token=b0db576f50a9338125cf00d177ab1298&tid=litv&id=77
民視第一台,https://iptv345.com/?act=play&token=59e25200350b05b815b4acf7d1a5a7a9&tid=litv&id=76
民視綜藝,https://iptv345.com/?act=play&token=4e386366c2af4951f5989464cf229d5b&tid=litv&id=75
民視新聞台,https://iptv345.com/?act=play&token=9b46fffc08cba23c647b7b97d6aa9f68&tid=litv&id=14
民視影劇,https://iptv345.com/?act=play&token=6f554f26c208ff0b5a969e757ca6e6ce&tid=litv&id=33
生活英語台,https://iptv345.com/?act=play&token=3117ab371c35379088236c9ed921430e&tid=litv&id=89
龍華日韓,https://iptv345.com/?act=play&token=d1e84fda60b2d0313f4cfa2f41e96027&tid=litv&id=73
龍華卡通,https://iptv345.com/?act=play&token=42eb084e7cc8edf54f2d79e0b49faba1&tid=litv&id=72
龍華電影,https://iptv345.com/?act=play&token=8907abcafea3814928f175a41b290af6&tid=litv&id=31
龍華戲劇,https://iptv345.com/?act=play&token=428568516305874f96815eee021889b4&tid=litv&id=40
