litv,#genre#

TVBS新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv072
東森新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv152
東森財經台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv153
民視新聞台,https://tzh911.qzz.io/litv.php?id=litv-ftv13
中天新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv009
華視新聞,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv052
中視新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv074
台視新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv051
寰宇新聞台,https://tzh911.qzz.io/litv.php?id=litv-longturn14
寰宇台灣台,https://tzh911.qzz.io/litv.php?id=litv-longturn15
鏡新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv075
非凡新聞台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv010

華視,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv041
中視,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv040
台視,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv066
民視,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv002
民視,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv155

民視旅遊台,https://tzh911.qzz.io/litv.php?id=litv-ftv07
亞洲旅遊台,https://tzh911.qzz.io/litv.php?id=litv-longturn17
Smart知識台,https://tzh911.qzz.io/litv.php?id=litv-longturn19
amc電影台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv017
CATCHPLAY電影台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv076
影迷數位電影台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv011
采昌影劇,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv049

靖天日本台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv047
靖天育樂台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv062
靖天映畫台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv055
