judy,#genre#

Arirang TV,http://docker.livednow.dpdns.org/li-4gtv-4gtv079/index.m3u8
CLASSICA 古典樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv059/index.m3u8
ELTA娛樂,http://docker.livednow.dpdns.org/li-4gtv-4gtv070/index.m3u8
ELTV生活英語台,http://docker.livednow.dpdns.org/li-litv-longturn20/index.m3u8
GINX Esports TV,http://docker.livednow.dpdns.org/li-4gtv-4gtv053/index.m3u8
MEZZO LIVE HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv083/index.m3u8
Smart知識台,http://docker.livednow.dpdns.org/li-litv-longturn19/index.m3u8
TRACE Sport Stars,http://docker.livednow.dpdns.org/li-4gtv-4gtv077/index.m3u8
Trace Urban,http://docker.livednow.dpdns.org/li-4gtv-4gtv082/index.m3u8
TVBS HD,http://docker.livednow.dpdns.org/li-4gtv-4gtv073/index.m3u8
TVBS新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv072/index.m3u8
TVBS精采台,http://docker.livednow.dpdns.org/li-4gtv-4gtv067/index.m3u8
TVBS歡樂台,http://docker.livednow.dpdns.org/li-4gtv-4gtv068/index.m3u8
VOA 美國之音,http://docker.livednow.dpdns.org/li-litv-ftv03/index.m3u8
八大精彩,http://docker.livednow.dpdns.org/li-4gtv-4gtv034/index.m3u8
八大綜藝,http://docker.livednow.dpdns.org/li-4gtv-4gtv039/index.m3u8
中天亞洲台,http://docker.livednow.dpdns.org/4gtv-4gtv109/index.m3u8
中天新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv009/index.m3u8
中視,http://docker.livednow.dpdns.org/li-4gtv-4gtv040/index.m3u8
中視菁采台,http://docker.livednow.dpdns.org/li-4gtv-4gtv064/index.m3u8
中視新聞台,http://docker.livednow.dpdns.org/li-4gtv-4gtv074/index.m3u8
中視經典台,http://docker.livednow.dpdns.org/li-4gtv-4gtv080/index.m3u8
