judy直播源,#genre#

TVBS新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv072/index.m3u8
東森新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv152/index.m3u8
民視新聞,http://4gtv.livednow.dpdns.org/li-litv-ftv13/index.m3u8
民視新聞,http://4gtv.livednow.dpdns.org/litv-ftv13/index.m3u8

中視新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv074/index.m3u8
台視新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv051/index.m3u8

民視旅遊,http://4gtv.livednow.dpdns.org/li-litv-ftv07/index.m3u8
民視旅遊,http://4gtv.livednow.dpdns.org/litv-ftv07/index.m3u8
亞洲旅遊,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv076/index.m3u8
Smart知識台,http://4gtv.livednow.dpdns.org/li-litv-longturn19/index.m3u8

華視,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv041/index.m3u8
中視,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv040/index.m3u8
台視,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv066/index.m3u8
民視,http://4gtv.livednow.dpdns.org/4gtv-4gtv002/index.m3u8

靖天日本,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv047/index.m3u8
靖天卡通,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv044/index.m3u8
靖天育樂,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv062/index.m3u8
靖天映畫,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv055/index.m3u8
靖天國際,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv063/index.m3u8
靖天資訊,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv065/index.m3u8
靖天電影,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv061/index.m3u8
靖天綜合,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv046/index.m3u8
靖天戲劇,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv058/index.m3u8
靖天歡樂,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv054/index.m3u8
靖洋卡通,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv057/index.m3u8
靖洋戲劇,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv045/index.m3u8

龍華日韓,http://4gtv.livednow.dpdns.org/li-litv-longturn11/index.m3u8
龍華卡通,http://4gtv.livednow.dpdns.org/li-litv-longturn01/index.m3u8
龍華洋片,http://4gtv.livednow.dpdns.org/li-litv-longturn02/index.m3u8
龍華偶像,http://4gtv.livednow.dpdns.org/li-litv-longturn12/index.m3u8
龍華經典,http://4gtv.livednow.dpdns.org/li-litv-longturn21/index.m3u8
龍華電影,http://4gtv.livednow.dpdns.org/li-litv-longturn03/index.m3u8
龍華戲劇,http://4gtv.livednow.dpdns.org/li-litv-longturn18/index.m3u8


TVBS HD,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv073/index.m3u8
TVBS精采台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv067/index.m3u8
TVBS歡樂台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv068/index.m3u8
中天亞洲台,http://4gtv.livednow.dpdns.org/4gtv-4gtv109/index.m3u8
中天新聞台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv009/index.m3u8
中視菁采台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv064/index.m3u8
中視經典台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv080/index.m3u8
影迷數位紀實台,http://4gtv.livednow.dpdns.org/li-litv-ftv15/index.m3u8
影迷數位電影台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv011/index.m3u8


寰宇新聞,http://4gtv.livednow.dpdns.org/li-litv-longturn14/index.m3u8
寰宇台灣,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv156/index.m3u8
寰宇財經,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv158/index.m3u8
鏡新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv075/index.m3u8
非凡商業,http://4gtv.livednow.dpdns.org/4gtv-4gtv048/index.m3u8
非凡新聞,http://4gtv.livednow.dpdns.org/4gtv-4gtv010/index.m3u8

民視台灣台,http://4gtv.livednow.dpdns.org/4gtv-4gtv001/index.m3u8
民視台灣台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv001/index.m3u8
民視第一台,http://4gtv.livednow.dpdns.org/4gtv-4gtv003/index.m3u8
民視第一台,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv003/index.m3u8
民視綜藝,http://4gtv.livednow.dpdns.org/4gtv-4gtv004/index.m3u8
民視綜藝,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv004/index.m3u8
民視影劇,http://4gtv.livednow.dpdns.org/li-litv-ftv09/index.m3u8
民視影劇,http://4gtv.livednow.dpdns.org/litv-ftv09/index.m3u8
東森財經新聞,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv153/index.m3u8
采昌影劇,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv049/index.m3u8

視納華仁紀實頻道,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv013/index.m3u8
經典電影台,http://4gtv.livednow.dpdns.org/4gtv-live021/index.m3u8
達文西,http://4gtv.livednow.dpdns.org/li-4gtv-4gtv018/index.m3u8
