litv,#genre#

民視台灣台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv001
民視第一台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv003
民視,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv155
台視,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv066
中視,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv040
華視,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv041
客家電視,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv043
中天亞洲台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv109
靖天綜合台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv046
靖天日本台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv047
靖天育樂台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv062
KLT-靖天國際台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv063
靖天資訊台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv065
好消息,http://litv.go-iptv.ggff.net/litv.php?id=litv-ftv16
好消息2台,http://litv.go-iptv.ggff.net/litv.php?id=litv-ftv17
Focus歡樂綜合台,http://litv.go-iptv.ggff.net/litv.php?id=litv-fast1223
黃金八點檔,http://litv.go-iptv.ggff.net/litv.php?id=litv-fast1225
東森新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv152
東森財經新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv153
華視新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv052
民視新聞台,http://litv.go-iptv.ggff.net/litv.php?id=litv-ftv13
三立新聞iNEWS,http://litv.go-iptv.ggff.net/litv.php?id=iNEWS
非凡新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv010
台視新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv051
中視新聞,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv074
中天新聞台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv009
寰宇新聞台灣台,http://litv.go-iptv.ggff.net/litv.php?id=4gtv-4gtv156
