mg央視,#genre#

1綜合,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1
2財經,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv2
3綜藝,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv3
4中文國際,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv4
5體育,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5
5+體育賽事,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5p
6電影,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv6
7國防軍事,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv7
8電視劇,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv8
9紀錄,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv9
10科教,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv10
11戲曲,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv11
13社會與法,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv12
13新聞,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv13
14少兒,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv14
15音樂,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv15
16奧林匹克,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv16
17農業農村,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv17
