黑龍江秒開,#genre#

1綜合,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv1
2財經,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv2
3綜藝,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv3
4中文國際,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv4
5體育,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv5
5+體育賽事,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv5p
6電影,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv6
7國防軍事,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv7
8電視劇,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv8
9紀錄,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv9
10科教,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv10
11戲曲,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv11
12社會與法,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv12
13新聞,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv13
14少兒,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv14
15音樂,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv15
16奧林匹克,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=custom11
17農業農村,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=cctv17

江蘇衛視,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=jsws
浙江衛視,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=zjws
湖南衛視,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=hunanws
北京衛視,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=bjws
東方衛視,http://www.kaniptv.cn/mk.php?ip=113.0.131.67:8014&id=dfws
