mursor衛視,#genre#

江蘇衛視,https://mursor.ottiptv.cc/mcp/jiangsu.m3u8 
浙江衛視,https://mursor.ottiptv.cc/mcp/zhejiang.m3u8
湖南衛視,https://mursor.ottiptv.cc/mcp/hunan.m3u8
北京衛視,https://mursor.ottiptv.cc/mcp/beijing.m3u8
東方衛視,https://mursor.ottiptv.cc/mcp/dongfang.m3u8
山西衛視,https://mursor.ottiptv.cc/mcp/shanxi.m3u8
山東衛視,https://mursor.ottiptv.cc/mcp/shandong.m3u8
天津衛視,https://mursor.ottiptv.cc/mcp/tianjing.m3u8
四川衛視,https://mursor.ottiptv.cc/mcp/sichuan.m3u8
甘肅衛視,https://mursor.ottiptv.cc/mcp/gansu.m3u8
吉林衛視,https://mursor.ottiptv.cc/mcp/jiling.m3u8
安徽衛視,https://mursor.ottiptv.cc/mcp/anhui.m3u8
江西衛視,https://mursor.ottiptv.cc/mcp/jiangxi.m3u8
西藏衛視,https://mursor.ottiptv.cc/mcp/xizang.m3u8
兵團衛視,https://mursor.ottiptv.cc/mcp/bintuan.m3u8
東南衛視,https://mursor.ottiptv.cc/mcp/dongnan.m3u8
河北衛視,https://mursor.ottiptv.cc/mcp/hebei.m3u8
河北衛視,https://mursor.ottiptv.cc/mcp/hebei.m3u8
河南衛視,https://mursor.ottiptv.cc/mcp/henan.m3u8
青海衛視,https://mursor.ottiptv.cc/mcp/qinghai.m3u8
重慶衛視,https://mursor.ottiptv.cc/mcp/chongqing.m3u8
海南衛視,https://mursor.ottiptv.cc/mcp/hainan.m3u8
陝西衛視,https://mursor.ottiptv.cc/mcp/shanxiws.m3u8
深圳衛視,https://mursor.ottiptv.cc/mcp/shenzheng.m3u8
湖北衛視,https://mursor.ottiptv.cc/mcp/hubei.m3u8
貴州衛視,https://mursor.ottiptv.cc/mcp/guizhou.m3u8
雲南衛視,https://mursor.ottiptv.cc/mcp/yunnan.m3u8
新疆衛視,https://mursor.ottiptv.cc/mcp/xinjiang.m3u8
寧夏衛視,https://mursor.ottiptv.cc/mcp/ningxia.m3u8
廣西衛視,https://mursor.ottiptv.cc/mcp/guangxi.m3u8
廣東衛視,https://mursor.ottiptv.cc/mcp/guangdong.m3u8
遼寧衛視,https://mursor.ottiptv.cc/mcp/liaoning.m3u8
內蒙古衛視,https://mursor.ottiptv.cc/mcp/neimenggu.m3u8
黑龍江衛視,https://mursor.ottiptv.cc/mcp/heilongjiang.m3u8

