smt央視,#genre#

1綜合,http://1234.koyeb.app/smt.php?id=cctv1
2財經,http://1234.koyeb.app/smt.php?id=cctv2
3綜藝,http://1234.koyeb.app/smt.php?id=cctv3
4中文國際,http://1234.koyeb.app/smt.php?id=cctv4
5體育,http://1234.koyeb.app/smt.php?id=cctv5
5+體育賽事,http://1234.koyeb.app/smt.php?id=cctv5plus
6電影,http://1234.koyeb.app/smt.php?id=cctv6
7國防軍事,http://1234.koyeb.app/smt.php?id=cctv7
8電視劇,http://1234.koyeb.app/smt.php?id=cctv8hd
9紀錄,http://1234.koyeb.app/smt.php?id=cctv9hd
10科教,http://1234.koyeb.app/smt.php?id=cctv10hd
11戲曲,http://1234.koyeb.app/smt.php?id=cctv11
12社會與法,http://1234.koyeb.app/smt.php?id=cctv12
13新聞,http://1234.koyeb.app/smt.php?id=cctv13
14少兒,http://1234.koyeb.app/smt.php?id=cctv14
15音樂,http://1234.koyeb.app/smt.php?id=cctv15
16奧林匹克,http://1234.koyeb.app/smt.php?id=cctv16
17農業農村,http://1234.koyeb.app/smt.php?id=cctv17

江蘇衛視,http://1234.koyeb.app/smt.php?id=jiangsu_twn
浙江衛視,http://1234.koyeb.app/smt.php?id=zhejiang_twn
湖南衛視,http://1234.koyeb.app/smt.php?id=hunan_twn
北京衛視,http://1234.koyeb.app/smt.php?id=beijing
東方衛視,http://1234.koyeb.app/smt.php?id=dongfangweishi_twn
