tmxklitv,#genre#

TVBS新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv072
東森新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv152
東森財經,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv153
民視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv13
中天新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv009
華視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv052
中視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv074
台視新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv051
寰宇新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn14
寰宇台灣,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv156
鏡新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv075
非凡新聞,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv010

民視旅遊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv07
亞洲旅遊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv076
Smart知識台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn19

華視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv041
中視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv040
台視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv066
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv002
民視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv155

靖天日本台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv047
靖天育樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv062
靖天映畫台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv055
靖天國際台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv063
靖天資訊台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv065
靖天電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv061
靖天綜合台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv046
靖天戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv058
靖天歡樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv054
靖洋戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv045
靖天卡通台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv044
靖洋卡通台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv057

龍華日韓台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn11
龍華洋片台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn02
龍華偶像台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn12
龍華經典台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn21
龍華電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn03
龍華戲劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn18
龍華卡通台,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-longturn01

amc電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv017
影迷數位電影台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv011
TVBS,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv073
TVBS精采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv067
TVBS歡樂台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv068
八大精彩台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv034
八大綜藝台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv039
中天亞洲台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv109
中視菁采台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv064
中視經典台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv080
民視台灣台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv001
民視第一台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv003
民視綜藝台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv004
民視影劇,https://tmxk.pp.ua/litv.php?token=tmxk&id=litv-ftv09
采昌影劇台,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv049
阿里郎,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv079
視納華仁紀實,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv013
愛爾達娛樂,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv070
達文西頻道,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv018


