江蘇浙江,#genre#
parse=1
江蘇衛視,https://live.jstv.com
浙江衛視,https://www.cztv.com/liveTV/101
錢江都市,https://www.cztv.com/liveTV/102
經濟生活,https://www.cztv.com/liveTV/103
教科影視,https://www.cztv.com/liveTV/104
民生休閒,https://www.cztv.com/liveTV/106
新聞,https://www.cztv.com/liveTV/107
少兒頻道,https://www.cztv.com/liveTV/108
浙江國際,https://www.cztv.com/liveTV/110
之江紀錄,https://www.cztv.com/liveTV/112


黑龍江,#genre#
parse=1

黑龍江衛視,https://www.dbw.cn/zhibodan/zhibo_dan/hljws
黑龍江都市,https://www.dbw.cn/zhibodan/zhibo_dan/hljds
黑龍江新聞法治,https://www.dbw.cn/zhibodan/zhibo_dan/heilongjiang
黑龍江文體,https://www.dbw.cn/zhibodan/zhibo_dan/hljwt
黑龍江少兒,https://www.dbw.cn/zhibodan/zhibo_dan/hljse
黑龍江影視,https://www.dbw.cn/zhibodan/zhibo_dan/hljys
黑龍江農業科教,https://www.dbw.cn/zhibodan/zhibo_dan/hljnykj
