校園直播,#genre#

1綜合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
2財經,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
3綜藝,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
4中文國際,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
5體育,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
5+體育賽事,http://iptv.huuc.edu.cn/hls/cctv5phd.m3u8
6電影,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
7國防軍事,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
8電視劇,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
x9紀錄,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
10科教,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
12社會與法,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
13新聞,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
14少兒,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8

江蘇衛視,http://iptv.huuc.edu.cn/hls/jshd.m3u8
浙江衛視,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
北京衛視,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南衛視,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
東方衛視,http://iptv.huuc.edu.cn/hls/dfhd.m3u8

山東衛視,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
四川衛視,http://iptv.huuc.edu.cn/hls/schd.m3u8
安徽衛視,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
江西衛視,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
東南衛視,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
重慶衛視,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
深圳衛視,http://iptv.huuc.edu.cn/hls/szhd.m3u8
湖北衛視,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
遼寧衛視,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
黑龍江衛視,http://iptv.huuc.edu.cn/hls/hljhd.m3u8

北京新聞,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
北京影視,http://iptv.huuc.edu.cn/hls/btv4hd.m3u8
北京文藝,http://iptv.huuc.edu.cn/hls/btv2hd.m3u8
北京體育休閒,http://iptv.huuc.edu.cn/hls/btv11hd.m3u8


