浙江新藍網,#genre#

浙江衛視,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江新聞,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江國際,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少兒,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江紀錄,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江經濟,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江錢江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
