央視網,#genre#

1綜合1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1/
2財經1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2/
3綜藝1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3/
4亞洲1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4/
4歐洲1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
4美洲1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica/
X5體育1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5/
X5+體育賽事1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus/
6電影1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6/
7國防軍事1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7/
8電視劇1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8/
9紀錄1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu/
10科教1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10/
11戲曲1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11/
12社會與法1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12/
13新聞1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13/
14少兒1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild/
15音樂1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15/
X16奧林匹克1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16/
17農業農村1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17/

央視頻(央視),#genre#

CCTV4K,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002264
CCTV8K,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600156816
1綜合2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
2財經2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
X3綜藝2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001801
4中文國際2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
X5體育2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
X5+體育賽事2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
6電影2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
7國防軍事2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
8電視劇2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
9紀錄2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
X10科教2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
11戲曲2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
12社會與法2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
13新聞2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
14少兒2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
15音樂2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
X16奧林匹克2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
17農業農村2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810


央視頻(衛視),#genre#

北京衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
江蘇衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
東方衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002520
湖南衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002475
湖北衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002508
廣東衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002485
廣西衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002509
黑龍江衛視http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002498
海南衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002506
重慶衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002531
深圳衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002481
四川衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002516
河南衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002525
福建東南衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002484
贵州衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002490
江西衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002503
遼寧衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002505
安徽衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002532
河北衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002493
山東衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002513
天津衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600152137
吉林衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190405
陝西衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190400
甘肅衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190408
寧夏衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190737
内蒙古衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190401
雲南衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190402
山西衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190407
青海衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190406
西藏衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190403
新疆衛視,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600152138
兵團衛視http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600193252
CCTV風雲劇場,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099658
CCTV第一劇場,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099655
CCTV懷舊劇場,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600099620
1234酷9央視衛視.txt
目前顯示的是「1234酷9央視衛視.txt」。
