酷9浙江,#genre#

浙江衛視,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/101
錢江都市,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/102
經濟生活,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/103
教科影視,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/104
民生休閒,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/106
新聞,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/107
少兒頻道,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/108
浙江國際,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/110
好易購,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/111
之江紀錄,http://A/ku9/js/webview.js?id=https://www.cztv.com/liveTV/112
